Seed,Random route (km),Nearest neighbour (km),Nearest neighbour + 2-opt (km),ML (XGBoost) (km),ML (XGBoost) + 2-opt (km)
1000,2144.0303,799.9032,700.7414,721.3115,697.1003
1001,2142.8536,799.5504,697.2047,704.4803,697.3197
1002,1916.8811,726.5333,685.6223,657.8922,646.4358
1003,2066.7516,673.1456,629.1652,662.3761,631.7053
1004,1977.5496,723.5504,621.9677,670.9198,630.4995
1005,1923.5582,861.6594,682.4559,695.1638,679.8578
1006,2317.2917,824.9479,762.4087,852.6413,762.8634
1007,2366.3486,740.3063,717.8683,715.1103,678.7371
1008,1854.3377,703.5733,638.6559,648.2403,629.6244
1009,2054.0975,745.6133,682.5889,656.4122,635.5065
1010,2291.1625,759.1755,691.7112,722.8127,683.0274
1011,2066.5251,607.8088,555.4711,520.1636,520.1636
1012,2004.6157,697.8907,578.4386,566.9962,547.9651
1013,1864.6369,583.684,547.2548,488.759,488.759
1014,2102.3445,678.0046,651.6715,694.0109,651.6715
1015,1852.1309,813.885,725.7641,776.0311,736.9331
1016,1517.8527,728.1492,532.0556,533.3501,532.0556
1017,1897.2527,804.9789,659.7741,814.634,659.7741
1018,1934.8013,701.8793,674.6082,695.0517,691.3819
1019,1798.5982,694.2087,635.7769,689.1819,635.7769
